USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1 47.8  0.8  15152  7792 ?        Rs   01:44   0:03 /sbin/init splash
root       139 28.5  0.4  18428  4012 ?        Ss   01:44   0:01 /lib/systemd/systemd-udevd
root       140  7.2  0.4  18296  4428 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       141  6.2  0.3  18296  3176 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       143  6.2  0.4  18296  4076 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       144  8.5  0.4  18296  4712 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       145  7.5  0.3  18364  3748 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       146  8.5  0.4  18364  4484 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       147  8.2  0.3  18296  3508 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       148  6.7  0.3  18296  3764 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       149  6.5  0.4  18296  4136 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       150  6.7  0.3  18296  3392 ?        S    01:44   0:00 /lib/systemd/systemd-udevd
root       151 52.7  2.3  35912 22748 ?        R    01:44   0:02 @sbin/plymouthd --mode=boot --pid-file=/run/plymouth/pid --attach-to-session
root       159  0.0  0.0      0     0 ?        S<   01:44   0:00 [SMIO]
root       177  0.0  0.0      0     0 ?        I<   01:44   0:00 [mmal-vchiq]
root       178  0.0  0.0      0     0 ?        I<   01:44   0:00 [mmal-vchiq]
root       179  0.0  0.0      0     0 ?        I<   01:44   0:00 [mmal-vchiq]
root       213  0.3  0.0      0     0 ?        I    01:44   0:00 [kworker/1:2-events]
root       214  0.0  0.0      0     0 ?        I<   01:44   0:00 [cfg80211]
root       216  0.0  0.0      0     0 ?        I<   01:44   0:00 [brcmf_wq/mmc1:0]
root       217  0.0  0.0      0     0 ?        S    01:44   0:00 [brcmf_wdog/mmc1]
root       237  3.0  0.2  12688  2628 ?        Ss   01:44   0:00 /lib/systemd/systemd-rfkill
systemd+   270 19.0  0.3  22372  2976 ?        Ssl  01:44   0:00 /lib/systemd/systemd-timesyncd
root       307  1.0  0.0      0     0 ?        I    01:44   0:00 [kworker/0:2-events]
message+   312 15.0  0.3   6548  2896 ?        Ss   01:44   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       313  6.0  0.4  10700  4004 ?        Ss   01:44   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root       315  8.0  0.2  25512  2676 ?        Ssl  01:44   0:00 /usr/sbin/rsyslogd -n -iNONE
root       318  2.0  0.0   3692   732 ?        SNs  01:44   0:00 /usr/sbin/alsactl -E HOME=/run/alsa -s -n 19 -c rdaemon
root       322 13.0  0.5  12868  5392 ?        Ss   01:44   0:00 /lib/systemd/systemd-logind
nobody     323  2.0  0.2   4320  2052 ?        Ss   01:44   0:00 /usr/sbin/thd --triggers /etc/triggerhappy/triggers.d/ --socket /run/thd.socket --user nobody --deviceglob /dev/input/event*
root       324 15.0  0.7  43628  6792 ?        Ssl  01:44   0:00 /usr/lib/udisks2/udisksd
root       330  1.0  0.0   1940   416 ?        Ss   01:44   0:00 /bin/sh /etc/init.d/raspi-config start
root       331  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/0:3-events]
root       332  1.0  0.2   7944  2196 ?        Ss   01:44   0:00 /usr/sbin/cron -f
root       335  2.0  0.1   1940  1116 ?        Ss   01:44   0:00 /bin/sh /usr/bin/btuart
avahi      336  4.0  0.2   5772  2604 ?        Ss   01:44   0:00 avahi-daemon: running [raspberrypi.local]
root       369  0.0  0.1   2140  1520 ?        S    01:44   0:00 /usr/bin/hciattach /dev/serial1 bcm43xx 921600 noflow - b8:27:eb:b7:91:c2
root       370  0.0  0.0  27656    80 ?        SLsl 01:44   0:00 /usr/sbin/rngd -r /dev/hwrng
root       374  0.0  0.2   9464  2096 ?        S    01:44   0:00 /usr/sbin/CRON -f
root       389  0.0  0.1   2964  1540 ?        Ss   01:44   0:00 /sbin/dhcpcd -q -b
